Id Unico,Genero,Repetidor,Especialidad,Turno,ÁLG,Faltas_ÁLG,ING,Faltas_ING,QUÍ,Faltas_QUÍ,TEC,Faltas_TEC,LÓG,Faltas_LÓG,LEC,Faltas_LEC,PRO,Faltas_PRO,ANA,Faltas_ANA,TAL,Faltas_TAL,TAL0,Faltas_TAL0,TAL1,Faltas_TAL1,TAL2,Faltas_TAL2,TUT,Faltas_TUT
711c8aac-7980-451e-b88b-295da40b6314,M,Si,ENFERMERIA GENERAL,MATUTINO,5,6,,,,,,,,,,,,,,,,,,,,,,,,
30dec4b2-a31e-4345-a200-f380f54a4631,F,No,ENFERMERIA GENERAL,MATUTINO,8,0,7,1,8,1,8,0,8,0,10,2,AC,0,AC,0,AC,0,AC,0,AC,0,AC,0,,
fd015636-30e4-4aac-b722-335f7bf6bd42,F,No,ENFERMERIA GENERAL,MATUTINO,7,0,8,0,6,0,9,0,8,0,9,2,AC,0,AC,0,AC,0,AC,0,AC,0,AC,0,,
82d85c3b-916f-4610-9dcc-86f99dc9cc53,F,No,ENFERMERIA GENERAL,MATUTINO,9,4,7,0,10,0,10,0,8,0,9,4,AC,0,AC,0,AC,0,AC,0,AC,0,AC,0,,
627ae5a2-f9d7-4aa2-b648-e8029cacd9f9,F,No,ENFERMERIA GENERAL,MATUTINO,10,0,5,0,8,1,6,0,8,2,9,0,AC,0,AC,0,AC,0,NA,0,AC,0,AC,0,,
759cb84d-c725-4099-a568-648ff9364804,M,No,ENFERMERIA GENERAL,MATUTINO,7,0,6,1,7,0,5,1,5,2,10,0,AC,0,AC,0,AC,0,AC,0,NA,0,AC,0,,
23a385f7-4899-48fe-8cb0-f9a06910f585,M,No,ENFERMERIA GENERAL,MATUTINO,7,0,5,0,5,2,7,1,7,0,8,0,AC,0,AC,0,AC,0,NA,0,AC,0,NA,0,,
b7f2c893-9fe4-45a9-b97a-bc885cdeda13,M,No,ENFERMERIA GENERAL,MATUTINO,8,0,5,2,5,1,8,4,6,0,7,2,AC,0,AC,0,AC,0,NA,0,AC,0,AC,0,,
d4a6c744-22bc-456e-99ea-7c0eecfbb301,F,No,ENFERMERIA GENERAL,MATUTINO,9,0,9,0,8,0,9,0,9,0,8,0,AC,0,AC,0,AC,0,AC,0,AC,0,AC,0,,
b322966e-5518-4e00-8d03-775a57f723de,M,No,ENFERMERIA GENERAL,MATUTINO,9,0,7,1,6,0,8,0,8,0,9,0,AC,0,AC,0,AC,0,NA,0,AC,0,AC,0,,
6c6a7231-c9c9-4763-958e-ccddb30a494a,F,No,ENFERMERIA GENERAL,MATUTINO,10,2,9,1,10,0,10,2,10,2,10,0,AC,0,AC,0,AC,0,AC,0,AC,0,AC,0,,
de7bdd4e-b359-4c6e-ad59-5e4e628e626e,M,No,ENFERMERIA GENERAL,MATUTINO,9,0,9,0,8,0,10,1,9,1,10,2,AC,0,AC,0,AC,0,AC,0,AC,0,AC,0,,
2296208c-c3d9-4657-a8bd-2ec33f53c218,F,No,ENFERMERIA GENERAL,MATUTINO,9,0,8,0,8,0,10,0,8,0,9,0,AC,0,AC,0,AC,0,AC,0,AC,0,AC,0,,
4df4fd6b-17bd-4cfb-a0d5-e4cbf2f6eb46,F,No,ENFERMERIA GENERAL,MATUTINO,5,0,5,1,6,3,5,5,8,3,5,0,AC,0,AC,0,AC,0,NA,0,NA,0,AC,0,,
3173d6ba-e697-44ce-abf5-9e0e033db8c1,F,No,ENFERMERIA GENERAL,MATUTINO,7,0,7,1,7,1,6,0,8,0,10,0,AC,0,AC,0,AC,0,AC,0,AC,0,AC,0,,
a2ba4fd7-f999-4c3d-90bb-04bcd51da16f,M,No,ENFERMERIA GENERAL,MATUTINO,7,0,5,2,5,1,5,1,5,2,5,6,AC,0,AC,0,AC,0,AC,0,AC,0,AC,0,,
36d31944-3b49-42ca-8a1e-d101027d0b81,M,No,ENFERMERIA GENERAL,MATUTINO,7,2,5,1,5,5,6,1,5,1,8,6,NA,0,NA,0,AC,0,NA,0,NA,0,AC,0,,
356d8b6c-6fd4-4f3c-a532-fc1274b82eba,F,No,ENFERMERIA GENERAL,MATUTINO,8,2,8,0,8,2,9,0,7,0,10,0,AC,0,AC,0,AC,0,AC,0,AC,0,AC,0,,
9034cb41-4682-4a2f-b018-2746f38cb498,F,No,ENFERMERIA GENERAL,MATUTINO,10,0,8,0,9,0,9,0,9,0,9,0,AC,0,AC,0,AC,0,AC,0,AC,0,AC,0,,
40141418-abbd-4b8d-98f6-1fe43ab52046,F,No,ENFERMERIA GENERAL,MATUTINO,8,0,7,0,9,0,10,0,5,0,9,0,AC,0,AC,0,AC,0,AC,0,AC,0,AC,0,,
99bf3d9f-ba36-4b21-aff1-071c04e20cd9,F,No,ENFERMERIA GENERAL,MATUTINO,10,0,9,0,9,1,10,0,10,0,10,0,AC,0,AC,0,AC,0,AC,0,AC,0,AC,0,,
44339ccc-86ae-4648-b64d-5c7b62e2f184,M,No,ENFERMERIA GENERAL,MATUTINO,5,0,6,1,5,1,5,0,5,2,5,2,AC,0,AC,0,AC,0,AC,0,AC,0,AC,0,,
352ecf56-bd00-4360-bac5-6342eede8e48,F,No,ENFERMERIA GENERAL,MATUTINO,5,0,7,0,8,1,5,0,6,0,9,0,AC,0,AC,0,AC,0,AC,0,NA,0,AC,0,,
4f8c89af-23b9-4555-90f6-b8ad3ae2f658,M,No,ENFERMERIA GENERAL,MATUTINO,10,0,9,0,8,0,10,0,8,0,9,0,AC,0,AC,0,AC,0,AC,0,AC,0,AC,0,,
61cec839-e7da-44ca-b87b-fcf4943dde03,M,No,ENFERMERIA GENERAL,MATUTINO,10,0,8,0,8,0,9,0,8,0,9,2,AC,0,AC,0,AC,0,AC,0,AC,0,AC,0,,
3ead268a-7d98-42fe-8721-e80e2cc2e128,F,No,ENFERMERIA GENERAL,MATUTINO,10,0,8,0,10,0,10,0,10,0,10,0,AC,0,AC,0,AC,0,AC,0,AC,0,AC,0,,
fbc5c66d-8f21-479f-b486-dff4e4bd2b14,F,No,ENFERMERIA GENERAL,MATUTINO,9,2,8,0,10,2,9,3,10,1,9,0,AC,0,AC,0,AC,0,AC,0,AC,0,AC,0,,
247dd4de-c1fc-40ee-a030-19ac55f97df1,F,No,ENFERMERIA GENERAL,MATUTINO,5,2,5,0,5,2,5,1,5,3,9,6,AC,0,AC,0,AC,0,NA,0,NA,0,AC,0,,
859f0dbf-69e9-4fe0-a981-3122db2fd781,F,No,ENFERMERIA GENERAL,MATUTINO,10,0,10,0,10,0,10,0,10,0,10,0,AC,0,AC,0,AC,0,AC,0,AC,0,AC,0,,
9370ab28-98d4-4884-82f6-dfc061094abe,F,No,ENFERMERIA GENERAL,MATUTINO,10,0,8,0,9,0,9,0,9,0,9,0,AC,0,AC,0,AC,0,AC,0,AC,0,AC,0,,
cac40bcf-2515-4cd4-ba25-04a74925f2f8,F,No,ENFERMERIA GENERAL,MATUTINO,8,0,8,0,6,0,8,0,8,0,9,0,AC,0,AC,0,AC,0,AC,0,AC,0,AC,0,,
ca307be5-7cd1-422a-88f8-339e3df30733,F,No,ENFERMERIA GENERAL,MATUTINO,8,0,8,0,6,2,7,0,8,0,9,0,AC,0,AC,0,AC,0,AC,0,AC,0,AC,0,,
065bac3c-539d-4858-89ba-8b247183d77b,M,No,ENFERMERIA GENERAL,MATUTINO,9,0,8,0,8,0,10,0,9,0,10,0,AC,0,AC,0,AC,0,AC,0,AC,0,AC,0,,
dc58229e-6617-4238-9cac-16b376463e97,F,No,ENFERMERIA GENERAL,MATUTINO,8,0,6,0,8,1,9,1,8,0,10,0,AC,0,AC,0,AC,0,AC,0,AC,0,AC,0,,
0890ab49-00e4-40f7-ba32-9c0782817b4c,F,Si,ENFERMERIA GENERAL,MATUTINO,,,9,0,,,,,,,,,,,,,,,,,,,,,,
a2bfcb27-6bc5-43de-a894-757b510c5c9f,M,Si,ENFERMERIA GENERAL,MATUTINO,,,,,5,4,,,5,0,,,,,,,,,,,,,,,,
0c97699d-7097-463a-810d-b998f6efc295,F,No,ENFERMERIA GENERAL,MATUTINO,7,2,7,1,8,1,6,0,7,0,9,4,AC,0,AC,0,AC,0,AC,0,NA,0,AC,0,,
7bfa6b15-76b6-492a-b736-213678b3bb69,M,No,ENFERMERIA GENERAL,MATUTINO,5,0,9,1,6,1,9,2,8,0,10,0,AC,0,AC,0,AC,0,AC,0,AC,0,AC,0,,
