Id Unico,Genero,Repetidor,Especialidad,Turno,GEO,Faltas_GEO,ING,Faltas_ING,BIO,Faltas_BIO,ETI,Faltas_ETI,APL,Faltas_APL,APL0,Faltas_APL0,EJE,Faltas_EJE,CAM,Faltas_CAM,TAL,Faltas_TAL,TAL0,Faltas_TAL0,TAL1,Faltas_TAL1,TAL2,Faltas_TAL2,TUT,Faltas_TUT
332599e5-0d46-4ace-9e89-6adf59513cc9,F,No,ENFERMERIA GENERAL,MATUTINO,9,0,9,0,9,0,10,0,9,1,10,0,10,0,,,AC,0,AC,0,AC,0,AC,0,,
00ed1b3b-936c-4368-8575-bc284b2f3002,M,Si,ENFERMERIA GENERAL,MATUTINO,5,0,,,,,,,,,,,,,,,,,,,,,,,,
329933ea-3bd9-4b1e-81d7-d24019d54063,F,No,ENFERMERIA GENERAL,MATUTINO,9,0,8,0,10,0,10,0,9,0,10,0,10,0,,,AC,0,AC,0,AC,0,AC,0,,
8bb36f4d-2df3-4744-94cf-cb7c7ef86445,F,No,ENFERMERIA GENERAL,MATUTINO,5,0,5,0,6,2,10,0,8,6,10,2,10,0,,,NA,0,AC,0,NA,0,AC,0,,
746abfea-e39c-44e5-a1dd-b223b7f683dd,F,No,ENFERMERIA GENERAL,MATUTINO,10,0,8,0,9,0,10,0,9,1,10,1,10,0,,,AC,0,AC,0,AC,0,AC,0,,
1a061d07-964f-4804-948b-a7c44456a15f,F,No,ENFERMERIA GENERAL,MATUTINO,8,0,7,0,10,0,8,0,8,0,9,2,10,0,,,AC,0,AC,0,AC,0,AC,0,,
3a7f285c-b21c-4a85-840d-fded94f13ada,F,No,ENFERMERIA GENERAL,MATUTINO,8,0,7,0,9,0,10,0,10,0,10,0,10,0,,,AC,0,AC,0,AC,0,AC,0,,
1ccc7ee5-d954-440f-8401-ed5bc4bbe68b,F,No,ENFERMERIA GENERAL,MATUTINO,7,0,10,0,9,0,10,0,9,0,10,0,10,0,,,AC,0,AC,0,AC,0,AC,0,,
25a13536-c5ac-4cf7-9626-70e5eee47e94,M,No,ENFERMERIA GENERAL,MATUTINO,5,0,10,0,10,0,9,0,8,1,10,0,10,0,,,AC,0,AC,0,AC,0,AC,0,,
fb98d7a7-bc59-4282-8f2b-8f669481ef5c,M,No,ENFERMERIA GENERAL,MATUTINO,5,0,6,0,6,6,10,0,7,0,10,4,9,0,,,NA,0,AC,0,AC,0,NA,0,,
e5d505a0-5908-4cf1-b718-c0a7259f4f9e,F,No,ENFERMERIA GENERAL,MATUTINO,5,0,5,0,7,1,10,0,8,3,10,0,10,0,,,NA,0,AC,0,AC,0,AC,0,,
f487ef30-bad9-40a2-87ae-5c3603f727af,F,No,ENFERMERIA GENERAL,MATUTINO,9,0,10,0,9,0,10,0,9,2,10,0,10,0,,,AC,0,AC,0,AC,0,AC,0,,
a1b3b7ca-edfe-4b3e-8eb4-eb33d5cd8949,F,Si,ENFERMERIA GENERAL,MATUTINO,5,2,5,0,,,,,,,,,,,,,,,,,,,,,,
34adf4b3-e994-4fc6-9296-fec3d7f2425a,F,No,ENFERMERIA GENERAL,MATUTINO,10,0,9,0,10,0,10,0,10,0,10,0,10,0,,,AC,0,AC,0,AC,0,AC,0,,
91866ac1-ac79-45da-ba5f-ce6acfafc462,F,No,ENFERMERIA GENERAL,MATUTINO,6,0,8,0,10,0,10,0,9,0,10,2,10,0,,,AC,0,AC,0,AC,0,AC,0,,
3952e1ad-36f3-401b-9154-6f6b1e83fb8c,F,No,ENFERMERIA GENERAL,MATUTINO,5,0,5,0,7,4,10,2,6,0,10,0,10,0,,,NA,0,AC,0,AC,0,AC,0,,
166169e7-7a0f-4958-98e4-6076d93271c1,F,No,ENFERMERIA GENERAL,MATUTINO,9,0,7,0,9,0,7,0,9,0,10,0,10,0,,,AC,0,AC,0,NA,0,AC,0,,
b437499e-eb30-435d-8683-7e9118096682,F,No,ENFERMERIA GENERAL,MATUTINO,7,0,10,0,10,0,10,0,9,0,10,0,10,0,,,AC,0,AC,0,AC,0,AC,0,,
df1ec2ca-f0d4-4b3c-8df8-7a5951b8c838,F,No,ENFERMERIA GENERAL,MATUTINO,7,0,8,0,9,0,10,0,8,0,10,0,10,0,,,AC,0,AC,0,AC,0,AC,0,,
1439ff46-5408-442c-9d1d-0a87ddecd558,M,No,ENFERMERIA GENERAL,MATUTINO,5,0,8,0,9,3,10,10,8,0,10,1,10,0,,,NA,0,AC,0,AC,0,AC,0,,
35ddc5a6-694f-403c-a9dc-bbdf57e2e512,F,No,ENFERMERIA GENERAL,MATUTINO,8,0,10,0,10,0,10,10,10,0,10,0,10,0,,,AC,0,AC,0,AC,0,AC,0,,
19275602-450a-4e44-a6b7-8b6ff5c82cc2,M,No,ENFERMERIA GENERAL,MATUTINO,5,0,5,0,8,0,9,2,7,0,10,0,9,0,,,AC,0,AC,0,AC,0,AC,0,,
bf76b896-2285-44da-b9d6-f18a51958511,M,No,ENFERMERIA GENERAL,MATUTINO,10,0,8,0,9,1,10,0,8,0,10,0,10,0,,,AC,0,AC,0,AC,0,AC,0,,
f4da08ea-31cc-4fc0-ac3a-0f1cf9ce7e43,M,No,ENFERMERIA GENERAL,MATUTINO,8,0,9,0,9,0,8,2,8,0,10,3,10,0,,,AC,0,AC,0,AC,0,AC,0,,
886dce83-3a10-4ca6-b693-2b258ef96cdc,F,Si,ENFERMERIA GENERAL,MATUTINO,9,0,,,,,,,,,,,,,,,,,,,,,,,,
9fb09a1a-798d-4a8d-8ca1-f1298fc1dcb9,F,No,ENFERMERIA GENERAL,MATUTINO,8,0,7,0,10,0,10,0,10,0,10,0,10,0,,,AC,0,AC,0,AC,0,AC,0,,
2a9a3238-ee24-458b-af90-56c4f2aa6543,F,Si,ENFERMERIA GENERAL,MATUTINO,,,,,NP,24,,,,,,,,,,,,,,,,,,,,
efaf5764-6c60-4ff9-9975-6191017a7491,M,No,ENFERMERIA GENERAL,MATUTINO,5,0,5,0,8,0,9,0,8,0,10,0,6,0,,,NA,0,AC,0,AC,0,AC,0,,
33a95f5e-23fb-43ea-a8f2-48f4cc6bc8d9,M,No,ENFERMERIA GENERAL,MATUTINO,6,0,9,0,10,1,9,0,8,2,10,0,10,0,,,AC,0,AC,0,AC,0,AC,0,,
05fc7377-3106-49e4-be81-fc9ee83a1822,F,No,ENFERMERIA GENERAL,MATUTINO,5,2,5,0,6,4,8,0,7,2,10,0,10,0,,,NA,0,AC,0,AC,0,AC,0,,
9713401d-7aa0-4c3a-afa7-e62c69bf641e,M,No,ENFERMERIA GENERAL,MATUTINO,10,0,9,0,10,0,10,0,9,0,10,0,10,0,,,AC,0,AC,0,AC,0,AC,0,,
811cc34d-b567-402b-8fdd-edd920ecccc2,M,No,ENFERMERIA GENERAL,MATUTINO,7,0,7,0,8,0,10,0,8,1,10,0,10,0,,,NA,0,AC,0,NA,0,AC,0,,
8b7ff33f-dfdf-4e5e-9b64-137c0d26dcf4,M,No,ENFERMERIA GENERAL,MATUTINO,7,0,8,0,9,0,7,0,7,0,9,0,10,0,,,AC,0,AC,0,AC,0,AC,0,,
bfc83686-2c75-42f4-a241-7b2c1083b922,F,No,ENFERMERIA GENERAL,MATUTINO,7,0,8,0,10,2,10,0,9,0,10,0,10,0,,,AC,0,AC,0,AC,0,AC,0,,
