Id Unico,Genero,Repetidor,Especialidad,Turno,GEO,Faltas_GEO,ING,Faltas_ING,QUÍ,Faltas_QUÍ,LEC,Faltas_LEC,EJE,Faltas_EJE,APL,Faltas_APL,REA,Faltas_REA,TAL,Faltas_TAL,TAL0,Faltas_TAL0,TAL1,Faltas_TAL1,TUT,Faltas_TUT
47e701fa-5366-4b7b-a0f0-565348302f1b,M,Si,ENFERMERIA GENERAL,MATUTINO,,,6,3,7,2,,,,,,,,,,,,,,,,
97555b37-5171-4eb9-b624-04ef9c60c133,M,No,ENFERMERIA GENERAL,MATUTINO,9,1,7,4,7,5,9,2,9,0,6,0,9,0,AC,0,AC,0,AC,0,,
224706f2-69d3-49a2-aaec-755744d686cd,F,No,ENFERMERIA GENERAL,MATUTINO,7,1,5,2,6,1,8,1,9,0,6,2,8,0,NA,0,AC,0,AC,0,,
212307bb-e266-4335-8b36-090e099c6730,F,No,ENFERMERIA GENERAL,MATUTINO,8,1,10,2,8,1,8,2,9,0,6,8,10,0,AC,0,AC,0,AC,0,,
21f464ac-f8f7-4a15-8fcc-cac02ce30046,F,No,ENFERMERIA GENERAL,MATUTINO,7,3,9,5,7,3,8,3,8,0,6,6,10,0,AC,0,AC,0,AC,0,,
0a21f3bd-9d50-4a33-a2e3-4f89cd2a2ec6,M,No,ENFERMERIA GENERAL,MATUTINO,5,2,5,4,5,20,5,5,5,0,6,12,9,0,NA,0,NA,0,AC,0,,
c49c5257-1bda-4b93-bde8-781e95bbe22d,F,No,ENFERMERIA GENERAL,MATUTINO,7,1,6,4,6,5,8,2,10,0,5,2,8,0,AC,0,AC,0,AC,0,,
2565c19d-d98e-4359-ae26-37ac75b028e9,F,No,ENFERMERIA GENERAL,MATUTINO,8,3,6,4,7,0,9,2,8,0,5,8,10,0,AC,0,AC,0,AC,0,,
49500334-b8f1-49dd-9f01-d670fccfaf52,F,Si,ENFERMERIA GENERAL,MATUTINO,7,5,6,2,,,,,,,,,,,,,,,,,,
1905f942-014d-452e-a051-1826e6c6e788,M,No,ENFERMERIA GENERAL,MATUTINO,7,1,8,2,7,3,8,1,6,0,6,0,8,0,NA,0,AC,0,AC,0,,
14901779-6f4f-4cdf-bb88-876fefc9ba08,M,No,ENFERMERIA GENERAL,MATUTINO,7,1,10,2,8,1,8,0,10,0,6,3,10,0,AC,0,AC,0,AC,0,,
08691c0d-1fda-4f2b-be9a-ff608dc92cb9,F,No,ENFERMERIA GENERAL,MATUTINO,7,1,6,0,7,1,9,1,8,0,6,6,8,0,AC,0,AC,0,AC,0,,
