Id Unico,Genero,Repetidor,Especialidad,Turno,GEO,Faltas_GEO,ING,Faltas_ING,BIO,Faltas_BIO,ETI,Faltas_ETI,APL,Faltas_APL,APL0,Faltas_APL0,EJE,Faltas_EJE,TAL,Faltas_TAL,TAL0,Faltas_TAL0,TAL1,Faltas_TAL1,TAL2,Faltas_TAL2,TUT,Faltas_TUT
60b1f476-9a7c-4e91-b7ae-a9c3fe0dee55,F,No,ENFERMERIA GENERAL,MATUTINO,6,0,6,0,9,0,9,1,8,1,9,6,8,0,AC,0,AC,0,AC,0,AC,0,,
501c49bd-12c6-458f-918c-b8510673076f,F,No,ENFERMERIA GENERAL,MATUTINO,6,0,6,2,8,2,8,1,8,2,8,6,10,0,AC,0,AC,0,AC,0,AC,0,,
66331c2d-0a4d-4b29-90c9-516c7be2af58,M,No,ENFERMERIA GENERAL,MATUTINO,8,0,6,0,9,2,8,1,8,1,9,0,9,0,AC,0,AC,0,NA,0,AC,0,,
b2d9864f-75e6-45a3-a680-b69d07d81cb9,F,No,ENFERMERIA GENERAL,MATUTINO,9,0,8,0,10,2,9,1,8,1,10,3,10,0,AC,0,AC,0,AC,0,AC,0,,
b2671fb6-8101-40b6-8c03-c1a4b38d4058,F,No,ENFERMERIA GENERAL,MATUTINO,5,0,7,0,5,2,7,1,5,4,5,6,9,0,AC,0,AC,0,NA,0,AC,0,,
7fde0f88-5af2-4149-9bce-aefb4bc01fae,F,No,ENFERMERIA GENERAL,MATUTINO,7,0,6,0,10,0,8,1,10,0,8,0,10,0,AC,0,AC,0,AC,0,AC,0,,
433c58a6-b1c6-4912-bccb-c6f0010ea2fe,F,No,ENFERMERIA GENERAL,MATUTINO,5,0,6,0,8,0,9,1,9,0,5,3,10,0,AC,0,AC,0,AC,0,AC,0,,
fcc457de-8272-4fa3-81fe-dbcebc8a1a4a,F,No,ENFERMERIA GENERAL,MATUTINO,5,0,5,1,9,0,7,1,10,1,8,6,10,0,AC,0,AC,0,AC,0,AC,0,,
9a45408a-4283-47a1-aa33-0998a41e4c4c,M,No,ENFERMERIA GENERAL,MATUTINO,5,0,5,1,9,0,9,1,10,2,5,5,10,0,AC,0,AC,0,AC,0,AC,0,,
295fe473-303e-4336-b1ee-bfda33f63f27,M,No,ENFERMERIA GENERAL,MATUTINO,10,0,8,0,10,0,9,1,9,1,8,3,9,0,AC,0,AC,0,AC,0,AC,0,,
